ts_code,name,management,found_date
160314.SZ,华夏行业LOF,华夏基金,20071122
160505.SZ,博时主题LOF,博时基金,20050106
160924.SZ,恒生指数LOF,大成基金,20170810
161116.SZ,黄金主题LOF,易方达基金,20110506
161903.SZ,万家行业优选LOF,万家基金,20050715
167301.SZ,保险主题LOF,方正富邦基金,20150731
501075.SH,科创主题LOF,万家基金,20190612
501080.SH,科创主题投资基金LOF,中金基金,20190711
501216.SH,富国行业精选FOF,富国基金,20211216
501217.SH,行业配置FOF,华夏基金,20220408
501220.SH,行业轮动FOF,国泰基金,20220719
501302.SH,恒生指数基金LOF,南方基金,20170721
510210.SH,上证指数ETF富国,富国基金,20110130
510760.SH,上证指数ETF国泰,国泰基金,20200821
510980.SH,上证指数ETF汇添富,汇添富基金,20231122
513600.SH,恒生指数ETF南方,南方基金,20141223
513800.SH,日本东证指数ETF南方,南方基金,20190612
516570.SH,化工行业ETF易方达,易方达基金,20210609
530060.SH,上证指数ETF易方达,易方达基金,20260130
562810.SH,上证指数增强ETF嘉实,嘉实基金,20250305
